id,pdf_url,terms,titles,abstracts
2604.14149,https://arxiv.org/pdf/2604.14149v1,['cs.CV'],One Token per Highly Selective Frame: Towards Extreme Compression for Long Video Understanding,"Long video understanding is inherently challenging for vision-language models (VLMs) because of the extensive number of frames. With each video frame typically expanding into tens or hundreds of tokens, the limited context length of large language models (LLMs) forces the VLMs to perceive the frames sparsely and lose temporal information. To address this, we explore extreme video token compression towards \emph{one token per frame} at the final LLM layer. Our key insight is that heuristic-based compression, widely adopted by previous methods, is prone to information loss, and this necessitates supervising LLM layers into \emph{learnable} and \emph{progressive} modules for \emph{token-level compression} (LP-Comp). Such compression enables our VLM to digest 2x-4x more frames with improved performance. To further increase the token efficiency, we investigate \emph{frame-level compression}, which selects the frames most relevant to the queries via the internal attention scores of the LLM layers, named \emph{question-conditioned compression} (QC-Comp). As a notable distinction from previous studies, we mitigate the position bias of LLM attention in long contexts, \emph{i.e.}, the over-concentration on the beginning and end of a sequence, by splitting long videos into short segments and employing local attention. Collectively, our combined \emph{token-level} and \emph{frame-level} leads to an e\textbf{x}treme compression model for long video understanding, named \textbf{\name}, achieving a significantly larger compression ratio and enabling denser frame sampling. Our \name is finetuned from VideoChat-Flash with a data-efficient \emph{supervised compression tuning} stage that only requires 2.5\% of the supervised fine-tuning data, yet boosts the accuracy from 42.9\% to 46.2\% on LVBench and enhances multiple other long video benchmarks."
2604.14148,https://arxiv.org/pdf/2604.14148v1,['cs.CV'],Seedance 2.0: Advancing Video Generation for World Complexity,"Seedance 2.0 is a new native multi-modal audio-video generation model, officially released in China in early February 2026. Compared with its predecessors, Seedance 1.0 and 1.5 Pro, Seedance 2.0 adopts a unified, highly efficient, and large-scale architecture for multi-modal audio-video joint generation. This allows it to support four input modalities: text, image, audio, and video, by integrating one of the most comprehensive suites of multi-modal content reference and editing capabilities available in the industry to date. It delivers substantial, well-rounded improvements across all key sub-dimensions of video and audio generation. In both expert evaluations and public user tests, the model has demonstrated performance on par with the leading levels in the field. Seedance 2.0 supports direct generation of audio-video content with durations ranging from 4 to 15 seconds, with native output resolutions of 480p and 720p. For multi-modal inputs as reference, its current open platform supports up to 3 video clips, 9 images, and 3 audio clips. In addition, we provide Seedance 2.0 Fast version, an accelerated variant of Seedance 2.0 designed to boost generation speed for low-latency scenarios. Seedance 2.0 has delivered significant improvements to its foundational generation capabilities and multi-modal generation performance, bringing an enhanced creative experience for end users."
2604.14147,https://arxiv.org/pdf/2604.14147v1,['cs.CV'],ROSE: Retrieval-Oriented Segmentation Enhancement,"Existing segmentation models based on multimodal large language models (MLLMs), such as LISA, often struggle with novel or emerging entities due to their inability to incorporate up-to-date knowledge. To address this challenge, we introduce the Novel Emerging Segmentation Task (NEST), which focuses on segmenting (i) novel entities that MLLMs fail to recognize due to their absence from training data, and (ii) emerging entities that exist within the model's knowledge but demand up-to-date external information for accurate recognition. To support the study of NEST, we construct a NEST benchmark using an automated pipeline that generates news-related data samples for comprehensive evaluation. Additionally, we propose ROSE: Retrieval-Oriented Segmentation Enhancement, a plug-and-play framework designed to augment any MLLM-based segmentation model. ROSE comprises four key components. First, an Internet Retrieval-Augmented Generation module is introduced to employ user-provided multimodal inputs to retrieve real-time web information. Then, a Textual Prompt Enhancer enriches the model with up-to-date information and rich background knowledge, improving the model's perception ability for emerging entities. Furthermore, a Visual Prompt Enhancer is proposed to compensate for MLLMs' lack of exposure to novel entities by leveraging internet-sourced images. To maintain efficiency, a WebSense module is introduced to intelligently decide when to invoke retrieval mechanisms based on user input. Experimental results demonstrate that ROSE significantly boosts performance on the NEST benchmark, outperforming a strong Gemini-2.0 Flash-based retrieval baseline by 19.2 in gIoU."
2604.14145,https://arxiv.org/pdf/2604.14145v1,"['astro-ph.CO', 'astro-ph.GA']","TDCOSMO XXV: A ""soup-to-nuts"" 6.5% $H_0$ measurement $-$ strong lensing and dynamics with a maximally flexible mass sheet","We present a blind time-delay cosmography measurement of the Hubble constant $H_0$ based on the quadruply imaged quasar SDSSJ1433+6007. Our analysis combines deep Hubble Space Telescope imaging, extended time-delay monitoring from the Wendelstein and Maidanak Observatories, and spatially resolved stellar kinematics from the Keck Cosmic Web Imager and Reionization Mapper. We build a robust lens model to reconstruct the mass distribution and high-signal-to-noise kinematic maps to break the mass-sheet degeneracy (MSD), explicitly accounting for the lens galaxy's oblateness, rotation, and anisotropy. Furthermore, we constrain the external convergence ($κ_{\rm ext}$) by characterizing the line-of-sight environment using wide-field photometry from the Dark Energy Spectroscopic Instrument (DESI) Legacy Survey data release 10. We incorporate these constraints into our joint lensing and dynamical model, running multiple iterations to estimate random and systematic uncertainties. Accounting for maximal flexibility of the mass-sheet transformation, and assuming a flat $Λ$CDM cosmology and an $Ω_{\rm m, 0}$ prior from DESI data release 2, we infer $H_0 = 73.2^{+4.8}_{-4.7}$ km s$^{-1}$ Mpc$^{-1}$ (a $6.5\%$ precision), and an internal mass-sheet parameter $λ_{\rm int}=1.12^{+0.05}_{-0.06}$. Notably, $λ_{\rm int}$ is $2σ$ away from unity for this system, highlighting the importance of treating it as a free parameter. Our $H_0$ measurement is consistent with the result from our 2025 milestone paper, and it will be included in our next hierarchical analysis to improve the overall precision. Moving forward, the comprehensive pipeline demonstrated herein establishes a robust framework that can be readily applied to future strongly lensed systems to further refine cosmological constraints."
2604.14132,https://arxiv.org/pdf/2604.14132v1,['gr-qc'],Time delay as a probe of multiple photon spheres,"Black hole shadow images are primarily determined by the properties of photon spheres and can exhibit degeneracies across different spherically symmetric spacetime geometries. We show that time delay observables associated with higher-order images of transient sources provide a robust probe to break such degeneracies in spacetimes admitting multiple photon spheres. Adopting a model-independent, parametrized, static, spherically symmetric framework that captures the generic features of double-peaked effective potentials, we investigate photon geodesics and quantify them in terms of angular deflection, travel time, and the order of the image. We identify distinctive signatures of trajectories probing the region between the unstable photon spheres. In particular, we find that these trajectories are characterized by the nontrivial temporal behavior, including a minimum travel time, a minimum angular deflection, and a characteristic triplet structure of higher-order images with a specific arrival sequence. We further show that the influence of the depth of the potential well, between the two photon spheres, on the observed time delays provides a direct handle on otherwise inaccessible regions of the spacetime. Our results highlight that time-domain lensing observables encode information beyond static shadow images and offer a promising avenue for probing the structure of compact objects and the strong-field regime of gravity."
2604.14120,https://arxiv.org/pdf/2604.14120v1,['physics.optics'],Sub-micromolar imaging of intrinsic chromophores by two-photon photothermal microscopy captures mitochondrial response to chemotherapy,"Intracellular chromophores (e.g., NADH and FAD) play a central role in regulation of cellular metabolism. Though autofluorescence has been extensively used for label-free mapping of chromophores inside a cell, its sensitivity and molecular specificity are constrained by the low quantum yield and the fluorescence spectral overlap. Here, we address these challenges by employing a photothermal approach to measure the optical absorption of chromophores rather than its autofluorescence. By combining near-infrared pump and visible probe beams, our two-photon photothermal (2PPT) microscope exploits localized thermal transients generated through two-photon absorption, enabling detection of chromophore-specific signatures beyond the reach of autofluorescence. We demonstrate sub-micromolar limit of detection for the metabolic coenzymes NADH and FAD of 0.87 uM and 0.99 uM, respectively. Such high sensitivity enables differentiating the influence of different mitochondria shapes on metabolism activity. Importantly, the fluorescence crosstalk-free 2PPT can identify the biomolecular source of contrast from cellular mitochondria in a label-free manner based on spectroscopy. 2PPT microscopy is utilized to study metabolic alterations of mitochondria in cancer under chemotherapy at the single organelle level."
2512.01773,https://arxiv.org/pdf/2512.01773v2,['cs.RO'],IGen: Scalable Data Generation for Robot Learning from Open-World Images,"The rise of generalist robotic policies has created an exponential demand for large-scale training data. However, on-robot data collection is labor-intensive and often limited to specific environments. In contrast, open-world images capture a vast diversity of real-world scenes that naturally align with robotic manipulation tasks, offering a promising avenue for low-cost, large-scale robot data acquisition. Despite this potential, the lack of associated robot actions hinders the practical use of open-world images for robot learning, leaving this rich visual resource largely unexploited. To bridge this gap, we propose IGen, a framework that scalably generates realistic visual observations and executable actions from open-world images. IGen first converts unstructured 2D pixels into structured 3D scene representations suitable for scene understanding and manipulation. It then leverages the reasoning capabilities of vision-language models to transform scene-specific task instructions into high-level plans and generate low-level actions as SE(3) end-effector pose sequences. From these poses, it synthesizes dynamic scene evolution and renders temporally coherent visual observations. Experiments validate the high quality of visuomotor data generated by IGen, and show that policies trained solely on IGen-synthesized data achieve performance comparable to those trained on real-world data. This highlights the potential of IGen to support scalable data generation from open-world images for generalist robotic policy training."
2604.14080,https://arxiv.org/pdf/2604.14080v1,['astro-ph.SR'],Analysis of Eruptive Prominence Plasma Parameters' Effects on the \ion{He}{2} 304~Å Line with Solar Orbiter EUI Observations,"An observation of a large prominence on the solar limb took place on February 15, 2022, by the Extreme Ultraviolet Imager (EUI) on board Solar Orbiter. We aim to determine the range of physical parameters of this prominence, such as temperature, radial velocity, and altitude, and examine how these parameters affect the formation of the 304~Å line of \ion{He}{2}, especially how collisional excitation and radiative processes contribute to line formation.
  After constraining these parameters, we generate 200 random models and compute the \ion{He}{2} 304~Å line profile. We present these results using parallel coordinate plots to explore how these parameters affect the results. This allows us to infer the key physical parameters that impact the formation of the \ion{He}{2} 304~Å line.
  This study demonstrates that column mass and the steepness of the temperature profile are key factors in the formation of the \ion{He}{2} 304~Å line during the solar prominence eruption on February 15, 2022. Radiative processes remain dominant in the formation of the \ion{He}{2} 304~Å line. These insights provide a foundation for future research and comparative studies."
2604.14074,https://arxiv.org/pdf/2604.14074v1,['cs.CV'],Training-Free Semantic Multi-Object Tracking with Vision-Language Models,"Semantic Multi-Object Tracking (SMOT) extends multi-object tracking with semantic outputs such as video summaries, instance-level captions, and interaction labels, aiming to move from trajectories to human-interpretable descriptions of dynamic scenes. Existing SMOT systems are trained end-to-end, coupling progress to expensive supervision, limiting the ability to rapidly adapt to new foundation models and new interactions. We propose TF-SMOT, a training-free SMOT pipeline that composes pretrained components for detection, mask-based tracking, and video-language generation. TF-SMOT combines D-FINE and the promptable SAM2 segmentation tracker to produce temporally consistent tracklets, uses contour grounding to generate video summaries and instance captions with InternVideo2.5, and aligns extracted interaction predicates to BenSMOT WordNet synsets via gloss-based semantic retrieval with LLM disambiguation. On BenSMOT, TF-SMOT achieves state-of-the-art tracking performance within the SMOT setting and improves summary and caption quality compared to prior art. Interaction recognition, however, remains challenging under strict exact-match evaluation on the fine-grained and long-tailed WordNet label space; our analysis and ablations indicate that semantic overlap and label granularity substantially affect measured performance."
2604.14063,https://arxiv.org/pdf/2604.14063v1,['astro-ph.SR'],Prominence Plasma Parameters Maps Inferred From Lyman $β$ and Lyman $γ$ Observations and Non-LTE Modelling,"The first dedicated observation of an off-limb prominence by the Spectral Imaging of the Coronal Environment (SPICE) instrument took place on April 15, 2023. We aim to create parameter maps on the prominence region, including temperature, pressure, and column mass, by studying the integrated intensity of the Lyman $β$ and Lyman $γ$ lines from SPICE data. After constraining the altitude and radial velocity in the prominence, we use a 1D non-LTE radiative transfer code to generate 1000 random models and compute the Lyman $β$ and Lyman $γ$ line profiles. The computed intensities are compared with observed integrated intensities from SPICE. Then, we create models which simultaneously give a reasonable match with the observed intensities in both lines. Unlike previous approaches, our method uses contribution functions to guide the optimisation of temperature and pressure profiles. Our approach enables a physically constrained and consistent match to both spectral lines. The method in this paper enables us to generate models from pixels on the prominence region and use this information to generate parameter maps. The results obtained have potential for future research."
