titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
Network exploration by random walks: A large deviation perspective,"We study exploration properties of a random walk on a network. For a fully connected network we find that the problem can be mapped to the well known coupon collector problem, thus allowing us to estimate form of $P(S,t)$: the distribution of number of distinct nodes $S$ visited by the random walk upto time $t$. From a practical point of view, however, both the fully connected network and hops taking place after fixed intervals are an idealization. We solve this problem by introducing the formalism of continuous time random walks wherein the random walk spends a random amount of time a node before hopping to its neighboring node. The formalism allows us to study the large deviation limit of $P(S,t)$ under very mild conditions that the distribution of waiting times $ψ(τ)$ exhibits analyticity at small times. Furthermore, we find that at small times, the properties of $P(S,t)$ are largely independent of the network topology, and are governed solely by the waiting time characteristics.",['physics.soc-ph'],http://arxiv.org/abs/2604.20829v1,https://arxiv.org/pdf/2604.20829v1,22/04/2026-17:56:26,"['Sarvesh K. Upadhyay', 'Trifce Sandev', 'Sanjay Kumar', 'R. K. Singh']",physics.soc-ph
From Meme to Method: Rethinking Animal Adoption Platforms through the Cat Distribution System,"The internet folklore of the Cat Distribution System (CDS) humorously suggests that cats are ""assigned"" to people rather than intentionally sought. Beyond its playful origins, CDS reflects a culturally resonant way people perceive and engage in adoption, and this user context can guide the redesign and improvement of adoption systems. In the Philippines, where an estimated 13.11 million stray cats and dogs place the country sixth worldwide in overpopulation, this framing offers a novel way to rethink adoption platforms. We developed a prototype application inspired by CDS principles, focusing on features such as algorithmic matchmaking, community reporting, and proximity-based discovery. An initial evaluation with potential users (n=35) indicated that the system was positively received for its ease of use and its alignment with users' intuitive expectations, though participants highlighted areas for improvement in transparency of matchmaking and owner-adopter communication. The findings suggest that culturally embedded metaphors like CDS can shape mental models, making adoption processes feel more serendipitous and less transactional.",['cs.HC'],http://arxiv.org/abs/2604.20823v1,https://arxiv.org/pdf/2604.20823v1,22/04/2026-17:47:53,"['Carl Angelo Angcana', 'Jamlech Iram Gojo Cruz']",cs.HC
Autonomous Emergence of Hamiltonian in Deep Generative Models,"The unprecedented predictive success of deep generative models in complex many-body systems, such as AlphaFold3, raises an epistemological question: do these networks merely memorize data distributions via high-dimensional interpolation, or do they autonomously deduce the underlying physical laws? To address this, we introduce a rigorous algebraic framework to extract the implicit physical interactions learned by generative models. By establishing an exact equivalence between the zero-noise limit of a Riemannian diffusion score field and the thermodynamic restoring force, we utilize the trained neural network as a direct force estimator. Applying this framework to a sequence-dependent, frustrated 1D $O(3)$ spin glass, we probe the latent representations of an $O(3)$-equivariant attention architecture trained solely on thermal equilibrium snapshots. Without incorporating any energetic priors, an overdetermined linear inversion successfully recovers the microscopic Hamiltonian parameters of the spin system. The inferred Hamiltonian parameters exhibit a $99.7\%$ cosine similarity with the ground-truth interaction parameters. Furthermore, these sparse local parameters alone are sufficient to explain $87\%$ of the variance in the continuous force field predicted by the network. Our results provide quantitative, falsifiable evidence that deep generative architectures do not merely perform statistical pattern matching, but autonomously discover and internalize the underlying physical rules.","['cond-mat.dis-nn', 'cond-mat.stat-mech']",http://arxiv.org/abs/2604.20821v1,https://arxiv.org/pdf/2604.20821v1,22/04/2026-17:46:35,"['Wenjie Xi', 'Wei-Qiang Chen']",cond-mat.dis-nn
Rigorous High-Order Hausdorff Dimension Estimation of Limit Sets of Continued Fraction Iterated Function Systems via B-Splines,"We develop a method for the rigorous estimation of Hausdorff dimensions of limit sets produced by continued fraction iterated function systems. Our method is based on the approximation of a Perron-Frobenius operator using the finite element method with B-splines as the choice of basis functions. This choice provides key numerical advantages including higher-order convergence and computational flexibility. We prove an analogue of Falk and Nussbaum's result on ""hidden positivity"" for B-spline quasi-interpolants to give rigorous upper and lower bounds for the Hausdorff dimensions of various limit sets. We provide numerical results to verify both the rigor and higher-order convergence of our method for quadratic B-spline interpolants in one and two dimensions.",['math.NA'],http://arxiv.org/abs/2604.20812v1,https://arxiv.org/pdf/2604.20812v1,22/04/2026-17:43:50,['Jacob Brown'],math.NA
Diagnosing CFG Interpretation in LLMs,"As LLMs are increasingly integrated into agentic systems, they must adhere to dynamically defined, machine-interpretable interfaces. We evaluate LLMs as in-context interpreters: given a novel context-free grammar, can LLMs generate syntactically valid, behaviorally functional, and semantically faithful outputs? We introduce RoboGrid, a framework that disentangles syntax, behavior, and semantics through controlled stress-tests of recursion depth, expression complexity, and surface styles. Our experiments reveal a consistent hierarchical degradation: LLMs often maintain surface syntax but fail to preserve structural semantics. Despite the partial mitigation provided by CoT reasoning, performance collapses under structural density, specifically deep recursion and high branching, with semantic alignment vanishing at extreme depths. Furthermore, ""Alien"" lexicons reveal that LLMs rely on semantic bootstrapping from keywords rather than pure symbolic induction. These findings pinpoint critical gaps in hierarchical state-tracking required for reliable, grammar-agnostic agents.",['cs.AI'],http://arxiv.org/abs/2604.20811v1,https://arxiv.org/pdf/2604.20811v1,22/04/2026-17:43:05,"['Hanqi Li', 'Lu Chen', 'Kai Yu']",cs.AI
LEXIS: LatEnt ProXimal Interaction Signatures for 3D HOI from an Image,"Reconstructing 3D Human-Object Interaction from an RGB image is essential for perceptive systems. Yet, this remains challenging as it requires capturing the subtle physical coupling between the body and objects. While current methods rely on sparse, binary contact cues, these fail to model the continuous proximity and dense spatial relationships that characterize natural interactions. We address this limitation via InterFields, a representation that encodes dense, continuous proximity across the entire body and object surfaces. However, inferring these fields from single images is inherently ill-posed. To tackle this, our intuition is that interaction patterns are characteristically structured by the action and object geometry. We capture this structure in LEXIS, a novel discrete manifold of interaction signatures learned via a VQ-VAE. We then develop LEXIS-Flow, a diffusion framework that leverages LEXIS signatures to estimate human and object meshes alongside their InterFields. Notably, these InterFields help in a guided refinement that ensures physically-plausible, proximity-aware reconstructions without requiring post-hoc optimization. Evaluation on Open3DHOI and BEHAVE shows that LEXIS-Flow significantly outperforms existing SotA baselines in reconstruction, contact, and proximity quality. Our approach not only improves generalization but also yields reconstructions perceived as more realistic, moving us closer to holistic 3D scene understanding. Code & models will be public at https://anticdimi.github.io/lexis.","['cs.CV', 'cs.LG']",http://arxiv.org/abs/2604.20800v1,https://arxiv.org/pdf/2604.20800v1,22/04/2026-17:27:13,"['Dimitrije Antić', 'Alvaro Budria', 'George Paschalidis', 'Sai Kumar Dwivedi', 'Dimitrios Tzionas']",cs.CV
A Hough transform approach to safety-aware scalar field mapping using Gaussian Processes,"This paper presents a framework for mapping unknown scalar fields using a sensor-equipped autonomous robot operating in unsafe environments. The unsafe regions are defined as regions of high-intensity, where the field value exceeds a predefined safety threshold. For safe and efficient mapping of the scalar field, the sensor-equipped robot must avoid high-intensity regions during the measurement process. In this paper, the scalar field is modeled as a sample from a Gaussian process (GP), which enables Bayesian inference and provides closed-form expressions for both the predictive mean and the uncertainty. Concurrently, the spatial structure of the high-intensity regions is estimated in real-time using the Hough transform (HT), leveraging the evolving GP posterior. A safe sampling strategy is then employed to guide the robot towards safe measurement locations, using probabilistic safety guarantees on the evolving GP posterior. The estimated high-intensity regions also facilitate the design of safe motion plans for the robot. The effectiveness of the approach is verified through two numerical simulation studies and an indoor experiment for mapping a light-intensity field using a wheeled mobile robot.",['cs.RO'],http://arxiv.org/abs/2604.20799v1,https://arxiv.org/pdf/2604.20799v1,22/04/2026-17:27:08,"['Muzaffar Qureshi', 'Trivikram Satharasi', 'Tochukwu E. Ogri', 'Kyle Volle', 'Rushikesh Kamalapurkar']",cs.RO
Magnetic uncertainty in variable geometry,"In this paper, we study Hardy-type uncertainty principles and unique continuation properties for linear covariant Schrodinger equations with variable coefficients in the presence of bounded electric and magnetic potentials. Under suitable smallness assumptions on the leading coefficients, we prove that any solution exhibiting super-quadratic exponential decay at two distinct times must vanish identically. Under an additional structural assumption on the coefficient matrix $G$, we further establish a Hardy-type result at the quadratic exponential scale. We also obtain an analogous uniqueness result for the heat equation with variable-coefficient magnetic perturbations.
  Our results unify and extend previous works in two directions: they recover the constant-coefficient covariant case treated by Barcelo-Fanelli-Gutierrez-Ruiz-Vilela when $G=I$, and the variable-coefficient non-magnetic case considered by Federico-Li-Yu when $A=0$. The proofs combine logarithmic convexity arguments with Carleman estimates adapted to variable-coefficient covariant Schrödinger and parabolic flows. Although our approach follows the general strategy introduced by Escauriaza-Kenig-Ponce-Vega, substantial new difficulties arise from the interaction between the variable metric and the magnetic structure, which requires new weight functions and refined commutator estimates.",['math.AP'],http://arxiv.org/abs/2604.20794v1,https://arxiv.org/pdf/2604.20794v1,22/04/2026-17:19:38,"['Luca Fanelli', 'Yilin Song', 'Ying Wang', 'Jiqiang Zheng', 'Ruihan Zhou']",math.AP
Efficient simulation of noisy IQP circuits with amplitude-damping noise,"Efficient classical simulation of noisy intermediate-scale quantum (NISQ) circuits has been a topic of intense study over the past few years. The majority of results on efficient simulation assume that the circuits undergo some variant of unital noise or involve sufficient randomness. However, there are limited results for circuits undergoing non-unital noise in the absence of randomness. In this work, we present a polynomial-time classical algorithm to sample from the output distributions of amplitude-damped instantaneous quantum polynomial (IQP) circuits. Our algorithm works for circuits generated by arbitrary $l$-local diagonal gates with depth $d = Ω(\log(n))$, undergoing constant amplitude-damping noise.",['quant-ph'],http://arxiv.org/abs/2604.05036v2,https://arxiv.org/pdf/2604.05036v2,06/04/2026-18:00:04,"['Shravan Shravan', 'Mohsin Raza', 'Ariel Shlosberg']",quant-ph
Efficient Multi-Cohort Inference for Long-Term Effects and Lifetime Value in A/B Testing with User Learning,"In streaming platforms churn is extremely costly, yet A/B tests are typically evaluated using outcomes observed within a limited experimental horizon. Even when both short- and predicted long-term engagement metrics are considered, they may fail to capture how a treatment affects users' retention. Consequently, an intervention may appear beneficial in the short term and neutral in the long term while still generating lower total value than the control due to users churn.
  To address this limitation, we introduce a method that estimates long-term treatment effects (LTE) and residual lifetime value change ($ΔERLV$) in short multi-cohort A/B tests under user learning. To estimate time-varying treatment effects efficiently, we introduce an inverse-variance weighted estimator that combines multiple cohorts estimates, reducing variance relative to standard approaches in the literature. The estimated treatment trajectory is then modeled as a parametric decay to recover both the asymptotic treatment effect and the cumulative value generated over time.
  Our framework enables simultaneous evaluation of steady-state impact and residual user value within a single experiment. Empirical results show improved precision in estimating LTE and $ΔERLV$ and identify scenarios in which relying on either short-term or long-term metrics alone would lead to incorrect product decisions.",['cs.LG'],http://arxiv.org/abs/2604.20777v1,https://arxiv.org/pdf/2604.20777v1,22/04/2026-17:05:11,"['Dario Simionato', 'Andrea Tonon', 'Mingxue Wang', 'Weiguo Wang', 'Tong Gui', 'Xiaoyue Li']",cs.LG
